type,values,model,period,lambda
costs,0.10245840744127561,floor,dotcom,0.9450000000000001
peak_to_through,2.3305514923651653,floor,dotcom,0.9450000000000001
max_1d,1.1560995276181556,floor,dotcom,0.9450000000000001
max_5d,1.3236526031020084,floor,dotcom,0.9450000000000001
max_30d,1.892986682590637,floor,dotcom,0.9450000000000001
max_ltm,1.5427245110940444,floor,dotcom,0.9450000000000001
avg_ltm,1.2493686048181127,floor,dotcom,0.9450000000000001
n_breaches,4,cap,dotcom,0.9450000000000001
N_observations,512,cap,dotcom,0.9450000000000001
perc_breaches,0.0078125,cap,dotcom,0.9450000000000001
conf_level,0.9921875,cap,dotcom,0.9450000000000001
avg_shortfall,-0.02133326781368005,cap,dotcom,0.9450000000000001
max_shortfall,-0.04010317045998066,cap,dotcom,0.9450000000000001
costs,0.10182796775593554,cap,dotcom,0.9450000000000001
peak_to_through,2.323231015792258,cap,dotcom,0.9450000000000001
